UniqueIdentifier,Department,WorkingStructure,Age,DISC,DISCFirstLetter,DISCFirst2Letters,Nationality,OrganizationalUnit,Gender,HolidayUsed,DevelopmentHours,Year,Level,Performance,FTE,TargetAchievementPortfolio,LeadershipBehaviorPortfolio,Salary,LengthOfService,TargetAchievement,LeadershipBehavior,Title,AbbrOfPosition
72,Department2,Team12,56,CISD,C,CI,British,CNY,Male,6,98,2017,2017,5,1.0,2,1,18883,1.85,5,3,FG-63GB03_G9,FL I
73,Department3,Team13,56,SCD,S,SC,Irish,HRK,Male,2,117,2016,2016,3,1.0,4,2,15010,8.65,2,4,FG-63GB03_G9,FL I
74,Department4,Team14,61,CID,C,CI,British,JPY,Female,36,63,2017,2017,2,1.0,4,4,10405,2.25,3,4,SF-Z-4GB03_G7,FL VI
75,Department5,Team15,25,DICS,D,DI,Spanish,CNY,Male,21,20,2017,2017,4,1.0,4,1,18632,22.49,5,1,SF-Z-1GB03_G10,FL I
76,Department1,Team1,20,CSDI,C,CS,Japanese,IDR,Female,35,2,2016,2016,4,1.0,4,1,16210,16.01,5,3,SF3-JPGB03_G12,FL II
77,Department2,Team2,21,DISC,D,DI,American,IDR,Male,19,22,2016,2016,4,1.0,3,1,3370,7.94,4,5,SF1-UK-IEGB3_G9,FL V
78,Department3,Team3,68,DI,D,DI,British,VEF,Male,18,48,2016,2016,4,1.0,4,2,18311,7.27,5,4,SF3-JPGB03_G12,FL V
79,Department4,Team4,23,SIC,S,SI,Polish,RUB,Male,15,11,2016,2016,2,1.0,4,2,11319,26.58,1,3,SF-Z-4GB03_G7,FL V
80,Department5,Team5,34,IDC,I,ID,Japanese,RUB,Female,11,97,2017,2017,4,0.5,1,4,11079,12.94,2,5,FG-63GB03_G9,FL I
81,Department1,Team6,63,IDS,I,ID,Irish,CNY,Male,25,25,2016,2016,3,1.0,4,3,3287,10.82,2,4,FG-63GB03_G9,FL II
82,Department2,Team7,34,ICSD,I,IC,German,CNY,Male,8,39,2016,2016,5,1.0,4,1,8797,21.45,4,5,SF3-JPGB03_G12,FL II
83,Department3,Team8,22,ICSD,I,IC,Scottish,CZK,Female,37,19,2017,2017,3,0.8,3,2,18524,27.14,5,5,SF-Z-4GB03_G7,FL II
84,Department4,Team9,34,SDC,S,SD,American,JPY,Male,8,102,2017,2017,5,1.0,3,1,4836,5.8,4,5,SF-Z-1GB03_G10,FL II
85,Department5,Team10,56,ISDC,I,IS,Japanese,CNY,Male,24,32,2016,2016,2,1.0,1,1,18169,19.38,1,2,SF3-JPGB03_G12,FL VI
86,Department1,Team11,23,CS,C,CS,Italian,IDR,Male,30,17,2016,2016,2,1.0,1,1,13684,6.55,3,5,SF-Z-4GB03_G7,FL II
87,Department2,Team12,31,SIC,S,SI,American,CNY,Male,38,9,2016,2016,3,1.0,2,2,16306,25.17,4,4,SF3-JPGB03_G12,FL II
88,Department3,Team13,42,SDI,S,SD,Spanish,BRL,Male,21,110,2016,2016,3,1.0,2,2,6622,15.1,2,1,SF-Z-1GB03_G10,FL II
89,Department4,Team14,54,SDIC,S,SD,American,PEN,Male,15,36,2017,2017,5,1.0,4,1,13892,3.06,2,4,SF1-UK-IEGB3_G9,FL I
92,Department2,Team2,34,SIC,S,SI,Spanish,CNY,Female,31,20,2016,2016,3,1.0,4,4,8259,6.03,3,2,SF1-UK-IEGB3_G9,FL VI
93,Department3,Team3,42,CIS,C,CI,British,UAH,Male,28,32,2016,2016,2,0.5,4,1,13588,3.33,4,3,SF-Z-4GB03_G7,FL II
94,Department4,Team4,25,SIC,S,SI,British,RUB,Female,24,17,2016,2016,1,1.0,2,3,3872,2.49,3,4,SF-Z-1GB03_G10,FL VI
95,Department5,Team5,56,SDIC,S,SD,Scottish,MYR,Male,0,4,2017,2017,5,1.0,4,3,11749,8.86,1,2,SF1-UK-IEGB3_G9,FL I
96,Department1,Team6,23,SCID,S,SC,British,PHP,Male,5,72,2017,2017,4,1.0,4,4,11056,12.48,2,2,SF1-UK-IEGB3_G9,FL I
97,Department2,Team7,25,DIC,D,DI,Irish,CNY,Male,10,71,2016,2016,3,1.0,4,3,8026,15.83,3,3,SF-Z-4GB03_G7,FL I
98,Department3,Team8,32,SCI,S,SC,Spanish,RUB,Male,35,77,2017,2017,1,1.0,3,4,12591,2.42,5,3,FG-63GB03_G9,FL II
99,Department4,Team9,34,SDCI,S,SD,French,CNY,Male,38,51,2017,2017,5,1.0,4,4,2524,20.87,2,3,FG-63GB03_G9,FL II
100,Department5,Team10,56,SDCI,S,SD,Polish,RSD,Female,2,6,2017,2017,3,1.0,2,4,2247,6.23,3,3,SF-Z-4GB03_G7,FL VI
101,Department1,Team11,61,ICD,I,IC,Italian,CNY,Female,33,10,2017,2017,3,1.0,4,1,8660,12.86,2,2,SF-Z-4GB03_G7,FL II
102,Department2,Team12,32,DI,D,DI,Irish,AMD,Male,15,1,2016,2016,2,0.4,3,1,4421,4.29,5,1,FG-63GB03_G9,FL II
103,Department3,Team13,34,DCSI,D,DC,American,JPY,Male,38,112,2017,2017,4,1.0,3,1,9735,2.77,1,5,SF3-JPGB03_G12,FL I
104,Department4,Team14,22,SDIC,S,SD,British,CNY,Female,37,114,2016,2016,5,1.0,2,3,6000,8.82,5,4,SF3-JPGB03_G12,FL I
105,Department5,Team15,32,DIC,D,DI,French,CNY,Male,7,87,2016,2016,5,1.0,1,1,16969,1.89,1,1,FG-63GB03_G9,FL II
106,Department1,Team1,34,ISCD,I,IS,Italian,CLP,Female,24,20,2017,2017,3,1.0,3,3,3810,23.93,2,4,SF3-JPGB03_G12,FL II
107,Department2,Team2,63,IDCS,I,ID,Scottish,EUR,Female,38,45,2016,2016,5,1.0,2,2,4176,22.56,3,3,SF3-JPGB03_G12,FL I
109,Department4,Team4,40,SICD,S,SI,German,RUB,Male,9,104,2017,2017,5,1.0,3,4,11627,5.0,4,4,SF-Z-4GB03_G7,FL II
110,Department5,Team5,34,CS,C,CS,British,CNY,Male,18,67,2017,2017,4,1.0,2,4,10426,25.46,2,1,SF1-UK-IEGB3_G9,FL V
111,Department1,Team6,23,DSCI,D,DS,Scottish,IDR,Male,27,116,2017,2017,2,1.0,1,3,8419,6.78,5,2,SF-Z-4GB03_G7,FL VI
113,Department3,Team8,34,SCI,S,SC,American,XOF,Female,9,48,2016,2016,2,1.0,1,4,11688,18.87,3,5,SF-Z-1GB03_G10,FL VI
114,Department4,Team9,34,SD,S,SD,French,RUB,Female,26,118,2016,2016,5,1.0,4,1,8520,17.57,5,3,SF3-JPGB03_G12,FL V
115,Department5,Team10,56,CDI,C,CD,Irish,IDR,Female,15,41,2016,2016,5,0.6,2,4,18144,5.59,5,2,SF-Z-4GB03_G7,FL I
116,Department1,Team11,34,DICS,D,DI,Irish,PHP,Female,28,48,2017,2017,4,1.0,2,2,9475,7.55,3,3,SF-Z-1GB03_G10,FL II
117,Department2,Team12,42,IS,I,IS,Scottish,EUR,Female,21,78,2017,2017,5,1.0,2,3,5135,26.53,5,5,SF1-UK-IEGB3_G9,FL VI
118,Department3,Team13,56,SDIC,S,SD,Polish,ARS,Female,22,21,2016,2016,3,0.8,3,4,15210,13.8,2,1,SF-Z-1GB03_G10,FL I
119,Department4,Team14,25,SDCI,S,SD,Scottish,PKR,Female,30,116,2016,2016,1,1.0,1,1,16185,24.4,5,5,FG-63GB03_G9,FL V
120,Department5,Team15,32,ICDS,I,IC,American,PLN,Female,14,36,2017,2017,1,0.8,1,2,10991,24.15,3,2,SF-Z-4GB03_G7,FL V
121,Department1,Team1,31,ID,I,ID,Japanese,CNY,Female,26,81,2016,2016,1,1.0,3,3,13663,13.29,3,2,SF3-JPGB03_G12,FL II
122,Department2,Team2,20,S,S,S,Spanish,LKR,Male,2,115,2017,2017,1,1.0,1,1,1597,14.09,2,3,SF3-JPGB03_G12,FL II
123,Department3,Team3,21,ICD,I,IC,Japanese,GTQ,Female,11,31,2016,2016,4,1.0,1,1,3791,24.53,5,2,SF3-JPGB03_G12,FL II
124,Department4,Team4,32,DIS,D,DI,Scottish,PHP,Male,32,82,2016,2016,2,1.0,2,1,8755,11.91,2,5,SF-Z-4GB03_G7,FL VI
125,Department5,Team5,44,DSI,D,DS,German,CNY,Female,9,81,2017,2017,2,0.6,4,2,10222,3.59,5,1,SF-Z-1GB03_G10,FL VI
126,Department1,Team6,68,DISC,D,DI,British,RUB,Female,1,57,2017,2017,1,1.0,3,3,10070,26.75,2,4,SF1-UK-IEGB3_G9,FL V
127,Department2,Team7,42,CS,C,CS,British,SEK,Female,29,0,2017,2017,5,1.0,1,4,11712,18.43,2,5,SF-Z-4GB03_G7,FL VI
129,Department4,Team9,34,DSIC,D,DS,Japanese,CNY,Male,12,49,2017,2017,2,1.0,3,2,11789,16.83,1,3,SF3-JPGB03_G12,FL V
130,Department5,Team10,56,DIS,D,DI,Japanese,IRR,Male,20,100,2017,2017,5,0.6,2,1,18855,19.04,4,4,SF-Z-4GB03_G7,FL II
131,Department1,Team11,23,DSI,D,DS,Scottish,BRL,Female,40,78,2017,2017,3,1.0,1,3,13411,19.42,4,2,SF3-JPGB03_G12,FL II
132,Department2,Team12,40,SID,S,SI,Irish,IDR,Female,18,120,2016,2016,4,1.0,1,4,9838,16.09,3,5,SF-Z-4GB03_G7,FL V
133,Department3,Team13,32,ID,I,ID,Irish,RUB,Female,34,48,2016,2016,3,0.6,3,2,11554,6.54,2,2,SF-Z-1GB03_G10,FL V
134,Department4,Team14,22,ICSD,I,IC,American,LTL,Female,37,30,2016,2016,5,1.0,1,1,2788,13.95,4,3,SF-Z-4GB03_G7,FL II
135,Department5,Team15,63,DC,D,DC,Spanish,EUR,Female,30,107,2017,2017,1,1.0,1,3,4764,5.56,4,1,SF-Z-1GB03_G10,FL I
136,Department1,Team1,32,CSD,C,CS,Irish,CNY,Female,39,30,2016,2016,5,0.8,4,2,11742,2.57,4,5,SF-Z-1GB03_G10,FL I
137,Department2,Team2,44,ISD,I,IS,Japanese,NOK,Female,21,9,2016,2016,2,1.0,2,1,3045,21.66,1,1,FG-63GB03_G9,FL II
138,Department3,Team3,34,CSI,C,CS,Italian,IDR,Female,39,8,2016,2016,5,1.0,2,1,6743,29.33,3,2,SF-Z-4GB03_G7,FL II
140,Department5,Team5,63,DS,D,DS,French,CAD,Female,24,31,2016,2016,1,1.0,4,1,10594,21.09,2,4,SF3-JPGB03_G12,FL VI
141,Department1,Team6,76,IS,I,IS,Italian,SEK,Female,0,44,2017,2017,4,1.0,3,2,9015,24.29,3,5,SF3-JPGB03_G12,FL II
142,Department2,Team7,22,CD,C,CD,Italian,PHP,Female,14,101,2016,2016,1,0.8,4,3,12773,17.18,5,2,SF-Z-1GB03_G10,FL V
144,Department4,Team9,31,ICDS,I,IC,American,CUP,Male,17,95,2016,2016,4,1.0,1,3,7188,27.32,3,1,SF1-UK-IEGB3_G9,FL II
145,Department5,Team10,34,DIS,D,DI,French,SEK,Male,5,57,2017,2017,2,0.6,4,2,11767,9.71,1,2,SF-Z-1GB03_G10,FL VI
146,Department1,Team11,54,ISD,I,IS,Polish,EUR,Female,14,95,2017,2017,3,1.0,2,4,11466,8.64,2,5,FG-63GB03_G9,FL V
147,Department2,Team12,20,ICDS,I,IC,Italian,BYR,Male,5,104,2016,2016,4,1.0,4,1,8098,9.35,3,3,SF3-JPGB03_G12,FL II
148,Department3,Team13,32,CD,C,CD,German,IDR,Female,7,70,2016,2016,2,1.0,3,2,9940,18.73,1,3,FG-63GB03_G9,FL VI
149,Department4,Team14,54,SCID,S,SC,French,CZK,Female,13,75,2017,2017,1,1.0,1,3,9522,7.9,2,2,SF3-JPGB03_G12,FL II
150,Department5,Team15,42,ISDC,I,IS,Italian,PHP,Male,8,88,2017,2017,3,1.0,2,2,17676,23.5,4,1,SF-Z-1GB03_G10,FL II
151,Department1,Team1,34,SDI,S,SD,Irish,CNY,Male,11,93,2017,2017,3,1.0,4,3,4536,7.84,4,3,SF-Z-4GB03_G7,FL V
152,Department2,Team2,25,DC,D,DC,Japanese,PLN,Male,23,75,2017,2017,4,1.0,1,1,17222,29.16,1,2,FG-63GB03_G9,FL II
153,Department3,Team3,23,DSCI,D,DS,Scottish,CNY,Male,3,79,2017,2017,3,1.0,3,1,2379,6.64,4,4,SF1-UK-IEGB3_G9,FL V
154,Department4,Team4,76,CDIS,C,CD,Scottish,BOB,Female,6,2,2016,2016,4,1.0,2,1,5238,4.49,1,3,SF1-UK-IEGB3_G9,FL VI
155,Department5,Team5,34,ISD,I,IS,Irish,CNY,Female,27,103,2017,2017,3,1.0,2,2,9005,8.05,4,3,FG-63GB03_G9,FL II
156,Department1,Team6,68,DI,D,DI,German,USD,Male,31,101,2017,2017,1,1.0,4,3,8061,1.19,3,4,SF1-UK-IEGB3_G9,FL VI
157,Department2,Team7,21,DCI,D,DC,Polish,CNY,Female,38,38,2017,2017,3,0.4,4,4,10456,11.69,4,5,SF-Z-4GB03_G7,FL VI
158,Department3,Team8,54,SCDI,S,SC,British,ARS,Male,22,111,2016,2016,2,1.0,2,3,6622,18.46,4,2,SF-Z-4GB03_G7,FL V
159,Department4,Team9,32,D,D,D,Spanish,CNY,Male,9,31,2016,2016,1,1.0,2,2,10648,1.85,2,3,SF-Z-1GB03_G10,FL VI
160,Department5,Team10,23,S,S,S,Polish,CZK,Female,18,89,2016,2016,2,1.0,3,3,8489,16.79,2,2,SF1-UK-IEGB3_G9,FL V
161,Department1,Team11,34,CI,C,CI,Japanese,BOB,Male,10,71,2017,2017,4,1.0,3,1,13330,5.04,4,2,SF-Z-4GB03_G7,FL II
162,Department2,Team12,31,ISDC,I,IS,Italian,VEF,Male,10,99,2017,2017,1,0.6,1,1,16116,24.27,3,1,SF-Z-4GB03_G7,FL II
163,Department3,Team13,42,SI,S,SI,Japanese,CNY,Male,12,10,2017,2017,5,1.0,4,4,11208,19.05,5,1,SF1-UK-IEGB3_G9,FL V
164,Department4,Team14,34,CDS,C,CD,German,CAD,Male,0,22,2016,2016,2,1.0,3,3,11959,15.13,2,4,SF-Z-1GB03_G10,FL II
165,Department5,Team15,40,DSI,D,DS,Polish,NPR,Female,18,57,2016,2016,5,1.0,2,4,8506,2.86,3,2,SF1-UK-IEGB3_G9,FL VI
166,Department1,Team1,34,CSD,C,CS,Irish,PHP,Female,16,110,2016,2016,3,1.0,3,1,16523,15.3,2,1,SF1-UK-IEGB3_G9,FL II
167,Department2,Team2,23,CD,C,CD,Polish,CNY,Male,29,95,2017,2017,2,1.0,2,1,16449,19.58,5,5,FG-63GB03_G9,FL V
168,Department3,Team3,34,CSD,C,CS,Scottish,PLN,Female,3,112,2017,2017,4,1.0,3,3,13325,2.06,3,4,SF-Z-4GB03_G7,FL II
169,Department4,Team4,44,DISC,D,DI,Scottish,PHP,Male,28,101,2016,2016,4,1.0,2,1,9536,28.37,2,1,SF-Z-4GB03_G7,FL II
170,Department5,Team5,22,CSD,C,CS,Italian,VEF,Male,11,74,2016,2016,4,1.0,4,2,11004,3.65,1,4,FG-63GB03_G9,FL VI
171,Department1,Team6,22,CSD,C,CS,Polish,IDR,Female,7,86,2017,2017,2,1.0,4,3,13944,10.21,4,1,SF3-JPGB03_G12,FL II
172,Department2,Team7,21,CS,C,CS,Irish,SEK,Male,34,99,2016,2016,3,1.0,1,3,11238,7.49,4,3,FG-63GB03_G9,FL I
173,Department3,Team8,23,IC,I,IC,German,ILS,Male,12,1,2017,2017,3,1.0,2,2,6067,16.5,2,1,SF3-JPGB03_G12,FL V
174,Department4,Team9,23,IDSC,I,ID,Spanish,CNY,Female,3,47,2016,2016,1,1.0,1,2,5362,15.08,5,4,SF3-JPGB03_G12,FL I
175,Department5,Team10,32,SIDC,S,SI,Irish,IDR,Male,4,48,2016,2016,4,1.0,4,2,18210,6.63,4,1,SF3-JPGB03_G12,FL II
176,Department1,Team11,31,CDSI,C,CD,French,MXN,Female,2,105,2017,2017,2,1.0,4,1,14017,28.07,4,1,FG-63GB03_G9,FL II
177,Department2,Team12,34,IDS,I,ID,Japanese,CNY,Male,25,100,2016,2016,3,1.0,1,4,10204,13.75,3,2,SF-Z-1GB03_G10,FL V
178,Department3,Team13,56,DIS,D,DI,German,EUR,Male,9,6,2017,2017,2,1.0,4,2,6566,14.47,2,4,FG-63GB03_G9,FL I
179,Department4,Team14,20,IC,I,IC,Japanese,CZK,Male,34,10,2017,2017,5,1.0,1,4,16845,16.61,5,4,SF3-JPGB03_G12,FL II
180,Department5,Team15,56,CISD,C,CI,Irish,IDR,Female,39,72,2016,2016,4,0.8,1,3,1640,19.15,3,4,SF3-JPGB03_G12,FL VI
181,Department1,Team1,56,CDIS,C,CD,Irish,UAH,Female,7,93,2016,2016,2,1.0,2,1,10410,18.33,4,5,SF1-UK-IEGB3_G9,FL II
182,Department2,Team2,31,ISCD,I,IS,German,CNY,Male,10,110,2017,2017,2,1.0,2,4,14112,10.17,4,3,SF1-UK-IEGB3_G9,FL II
183,Department3,Team3,40,SD,S,SD,Italian,IDR,Male,20,3,2016,2016,5,1.0,1,2,4083,13.45,1,4,FG-63GB03_G9,FL II
184,Department4,Team4,61,SCD,S,SC,German,CNY,Female,16,46,2017,2017,5,1.0,2,1,12977,5.41,3,3,FG-63GB03_G9,FL II
185,Department5,Team5,61,DCI,D,DC,Scottish,CNY,Male,14,27,2016,2016,5,1.0,3,3,3822,5.63,5,2,SF3-JPGB03_G12,FL V
186,Department1,Team6,25,DIS,D,DI,Spanish,EUR,Female,17,57,2017,2017,2,1.0,4,1,7327,21.21,2,1,SF3-JPGB03_G12,FL II
